timestamp,accel_x,accel_y,accel_z
2024-08-20 11:34:59,0.963216,-1.513444,1.428091
2024-08-20 11:34:59,-1.0355,1.725719,1.680304
2024-08-20 11:34:59,1.327844,1.171302,-1.130411
2024-08-20 11:35:00,0.500739,-0.891263,0.587222
2024-08-20 11:35:00,-0.326156,0.453693,1.639188
2024-08-20 11:35:00,-1.837169,-1.333318,0.290108
2024-08-20 11:35:00,1.863145,-1.918523,1.49426
2024-08-20 11:35:00,-1.506446,-0.122981,1.205534
2024-08-20 11:35:00,-0.682732,1.020646,-0.492364
2024-08-20 11:35:00,1.066253,0.362464,0.087166
2024-08-20 11:35:00,-0.328489,1.187729,0.363964
2024-08-20 11:35:00,-1.757171,-1.22546,-0.002617
2024-08-20 11:35:00,1.092758,0.777668,1.907543
2024-08-20 11:35:01,1.861024,-1.760049,0.564804
2024-08-20 11:35:01,1.899421,-1.522688,-0.54475
2024-08-20 11:35:01,-0.25008,1.13786,-0.884361
2024-08-20 11:35:01,-0.127353,-0.534578,0.523244
2024-08-20 11:35:01,-1.245602,0.575007,-1.719642
2024-08-20 11:35:01,-0.352016,1.086117,1.417252
2024-08-20 11:35:01,1.244137,1.76672,-0.941101
2024-08-20 11:35:01,0.094378,1.420808,1.930222
2024-08-20 11:35:01,-0.682116,-1.255099,0.241202
2024-08-20 11:35:02,1.788241,0.487467,1.125169
2024-08-20 11:35:02,-0.316529,-0.987461,1.932491
2024-08-20 11:35:02,1.257825,-1.355962,0.192998
2024-08-20 11:35:02,-1.609417,-1.596615,1.622654
2024-08-20 11:35:02,-1.560054,0.643872,-1.253038
2024-08-20 11:35:02,-1.045247,-0.66533,0.442252
2024-08-20 11:35:02,0.755315,1.552446,-1.480581
2024-08-20 11:35:02,1.535721,0.163245,1.946228
2024-08-20 11:35:02,0.318726,-0.647091,0.271256
2024-08-20 11:35:02,-0.430778,-1.219773,-1.949878
2024-08-20 11:35:03,-0.367337,0.812099,1.916242
2024-08-20 11:35:03,0.091597,-1.735582,-1.622453
2024-08-20 11:35:03,0.732607,-1.400762,-1.64296
2024-08-20 11:35:03,-0.0719,-1.596046,1.564497
2024-08-20 11:35:03,-0.305558,-0.433828,1.71672
2024-08-20 11:35:03,-1.496535,0.890763,1.768744
2024-08-20 11:35:03,-1.385331,-0.151562,1.847524
2024-08-20 11:35:03,-0.355034,1.05696,-0.245363
2024-08-20 11:35:03,1.283333,-1.858505,0.742925
2024-08-20 11:35:03,-1.231363,-1.682841,-1.88125
2024-08-20 11:35:04,-1.89851,-0.188454,1.975618
2024-08-20 11:35:04,1.206603,-1.347043,0.105154
2024-08-20 11:35:04,-1.228365,1.395312,0.265106
2024-08-20 11:35:04,0.011563,1.143156,-0.417505
2024-08-20 11:35:04,0.270206,-1.277083,-1.711172
