Timestamp,Temperature (°C),Humidity (%)
2024-08-27 16:10:24,24.80,44.40
2024-08-27 16:10:26,24.80,44.30
2024-08-27 16:10:28,24.80,44.40
2024-08-27 16:10:30,24.90,45.10
2024-08-27 16:10:32,24.90,45.10
2024-08-27 16:10:34,24.90,45.00
2024-08-27 16:10:36,24.90,45.00
2024-08-27 16:10:38,24.90,45.40
2024-08-27 16:10:40,24.90,45.60
2024-08-27 16:10:42,24.90,45.40
2024-08-27 16:10:44,24.90,45.10
2024-08-27 16:10:46,24.90,45.10
2024-08-27 16:10:48,24.90,44.80
2024-08-27 16:10:50,25.00,44.70
2024-08-27 16:10:52,25.00,45.20
2024-08-27 16:10:54,24.90,45.40
2024-08-27 16:10:56,25.00,45.20
2024-08-27 16:10:58,25.00,44.80
2024-08-27 16:11:00,25.00,44.60
2024-08-27 16:11:02,25.00,44.60
2024-08-27 16:11:04,25.00,44.40
2024-08-27 16:11:06,25.10,44.30
2024-08-27 16:11:08,25.00,44.50
2024-08-27 16:11:10,25.10,44.70
2024-08-27 16:11:12,25.10,44.70
2024-08-27 16:11:14,25.20,44.40
2024-08-27 16:11:16,25.20,44.00
2024-08-27 16:11:18,25.20,44.00
2024-08-27 16:11:20,25.20,43.90
2024-08-27 16:11:22,25.20,43.80
2024-08-27 16:11:24,25.30,44.00
2024-08-27 16:11:26,25.30,44.10
2024-08-27 16:11:30,25.30,44.60
2024-08-27 16:11:32,25.30,44.40
2024-08-27 16:11:34,25.40,44.20
2024-08-27 16:11:36,25.40,44.20
2024-08-27 16:11:38,25.40,44.20
2024-08-27 16:11:40,25.40,44.20
2024-08-27 16:11:42,25.40,44.30
2024-08-27 16:11:44,25.40,44.50
2024-08-27 16:11:46,25.40,44.20
2024-08-27 16:11:48,25.50,44.00
2024-08-27 16:11:50,25.40,43.80
2024-08-27 16:11:52,25.40,43.70
2024-08-27 16:11:54,25.50,43.50
2024-08-27 16:11:56,25.40,44.30
2024-08-27 16:11:58,25.40,44.40
2024-08-27 16:12:00,25.40,44.40
2024-08-27 16:12:02,25.40,44.10
2024-08-27 16:12:04,25.40,43.80
2024-08-27 16:12:06,25.40,43.80
2024-08-27 16:12:08,25.40,43.60
2024-08-27 16:12:10,25.40,43.60
2024-08-27 16:12:12,25.40,43.50
2024-08-27 16:12:14,25.40,43.50
2024-08-27 16:12:16,25.40,43.50
2024-08-27 16:12:18,25.40,43.40
2024-08-27 16:12:20,25.40,43.40
2024-08-27 16:12:22,25.30,43.40
2024-08-27 16:12:24,25.30,43.30
2024-08-27 16:12:26,25.30,43.40
