Timestamp,Temperature,Humidity
20240807195251,19.60,58.50
20240807195256,19.60,61.10
20240807195301,19.60,60.70
20240807195306,19.70,60.20
20240807195311,19.60,60.30
20240807195316,19.60,59.30
20240807195321,19.60,58.60
20240807195326,19.60,58.50
20240807195331,19.60,58.20
20240807195337,19.60,58.40
20240807195342,19.60,58.40
20240807195347,19.60,58.30
20240807195352,19.60,60.00
20240807195357,19.60,60.10
20240807195402,19.70,59.30
20240807195407,19.70,58.80
20240807195412,19.70,58.50
20240807195417,19.70,58.00
20240807195417,19.70,58.00
20240807195417,19.70,57.80
20240807195427,19.70,57.60
20240807195432,19.60,57.40
20240807195437,19.70,57.20
20240807195442,19.70,57.10
20240807195447,19.70,56.90
20240807195452,19.70,57.00
20240807195457,19.70,56.80
20240807195502,19.70,56.90
20240807195507,19.70,56.90
20240807195512,19.70,56.90
20240807195517,19.60,56.80
20240807195517,19.70,56.80
20240807195517,19.70,56.80
20240807195527,19.70,57.00
20240807195527,19.60,57.00
20240807195527,19.60,57.20
20240807195537,19.60,57.60
20240807195537,19.70,57.60
20240807195537,19.70,58.00
20240807195548,19.60,57.90
20240807195553,19.60,57.90
20240807195558,19.70,58.00
20240807195603,19.60,58.00
20240807195603,19.60,58.00
20240807195603,19.60,57.90
20240807195613,19.60,57.80
20240807195613,19.60,57.80
20240807195613,19.60,57.80
20240807195613,19.60,57.60
20240807195623,19.60,57.60
20240807195623,19.60,57.60
20240807195623,19.60,57.60
20240807195623,19.60,58.00
20240807195633,19.60,58.20
20240807195633,19.60,58.20
20240807195633,19.60,58.20
20240807195633,19.60,58.20
20240807195643,19.60,58.40
20240807195643,19.60,58.40
20240807195643,19.60,58.40
20240807195643,19.60,58.60
20240807195653,19.60,58.90
20240807195653,19.60,58.90
20240807195653,19.60,58.90
20240807195653,19.60,58.80
20240807195703,19.60,58.80
20240807195703,19.60,58.80
20240807195703,19.60,58.80
20240807195703,19.60,58.90
20240807195713,19.60,58.80
20240807195713,19.60,58.80
20240807195713,19.60,58.80
20240807195713,19.60,58.90
20240807195723,19.60,58.60
20240807195723,19.60,58.60
20240807195723,19.60,58.60
20240807195723,19.60,58.60
20240807195733,19.60,59.00
20240807195733,19.60,59.00
20240807195733,19.60,59.00
20240807195733,19.60,59.30
20240807195743,19.60,59.50
20240807195743,19.60,59.50
20240807195743,19.60,59.50
20240807195743,19.60,59.70
20240807195754,19.60,59.60
20240807195754,19.60,59.60
20240807195754,19.60,59.60
20240807195754,19.60,59.70
20240807195804,19.60,60.60
20240807195804,19.60,60.60
20240807195804,19.60,60.60
20240807195804,19.60,60.80
20240807195814,19.60,60.20
20240807195814,19.60,60.20
20240807195814,19.60,60.20
20240807195814,19.60,60.00
20240807195824,19.60,59.70
20240807195824,19.60,59.70
20240807195824,19.60,59.70
20240807195824,19.60,59.40
20240807195834,19.60,59.10
20240807195834,19.60,59.10
20240807195834,19.60,59.10
20240807195834,19.60,58.80
20240807195844,19.60,58.50
20240807195844,19.60,58.50
20240807195844,19.60,58.50
20240807195844,19.60,58.30
20240807195854,19.60,58.20
20240807195854,19.60,58.20
20240807195854,19.60,58.20
20240807195854,19.60,58.30
20240807195904,19.60,58.50
20240807195904,19.60,58.50
20240807195904,19.60,58.50
20240807195904,19.60,58.50
20240807195914,19.60,58.50
20240807195914,19.60,58.50
20240807195914,19.60,58.50
20240807195914,19.60,59.00
20240807195924,19.60,59.20
20240807195924,19.60,59.20
20240807195924,19.50,59.20
20240807195924,19.50,59.30
20240807195934,19.60,59.40
20240807195934,19.60,59.40
20240807195934,19.60,59.40
20240807195934,19.60,59.60
20240807195944,19.60,59.70
20240807195944,19.60,59.70
20240807195944,19.50,59.70
20240807195944,19.50,59.50
20240807195955,19.50,59.20
20240807195955,19.50,59.20
20240807195955,19.50,59.20
20240807195955,19.50,58.80
20240807200005,19.50,59.10
20240807200005,19.50,59.10
20240807200005,19.50,59.10
20240807200005,19.50,59.20
20240807200015,19.50,59.40
20240807200015,19.50,59.40
20240807200015,19.50,59.40
20240807200015,19.50,59.50
20240807200025,19.50,59.50
20240807200025,19.50,59.50
20240807200025,19.50,59.50
20240807200025,19.50,59.70
20240807200035,19.50,59.20
20240807200035,19.50,59.20
20240807200035,19.50,59.20
20240807200035,19.50,59.20
20240807200045,19.50,59.30
20240807200045,19.50,59.30
